camera_specs,display_specs
50 mp + 50 mp dual rear & 16 mp front camera,"6.78 inch, LTPO AMOLED Screen
Large"
16 mp + 2 mp dual rear & 8 mp front camera,"5.99 inch, IPS Screen
Small"
50 mp quad rear & 8 mp front camera,"6.5 inch, LCD Screen
Small"
48 mp + 16 mp + 5 mp triple rear & 25 mp front camera,"6.3 inch, LTPS IPS LCD Screen
Small"
64 mp + 8 mp + 2 mp triple rear & 32 mp front camera,"6.4 inch, IPS LCD Screen
Small"
13 mp + 12 mp dual rear & 32 mp front camera,"6.9 inch, LTPO AMOLED Screen
Large"
108 mp quad rear & 40 mp front camera,"6.8 inch, Dynamic AMOLED 2X Screen
Average"
50 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.67 inch, AMOLED Screen
Average"
16 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.53 inch, IPS LCD Screen
Small"
50 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.7 inch, AMOLED Screen
Average"
50 mp + 8 mp dual rear & 32 mp front camera,"6.78 inch, LTPO AMOLED Screen
Large"
13 mp + 5 mp dual rear & 5 mp front camera,"6.22 inch, IPS LCD Screen
Small"
200 mp + 13 mp + 8 mp triple rear & 32 mp front camera,"6.67 inch, OLED Screen
Small"
108 mp quad rear & 16 mp front camera,"6.67 inch, IPS LCD Screen
Average"
64 mp + 20 mp + 2 mp triple rear & 16 mp front camera,"6.8 inch, IPS Screen
Large"
13 mp + 2 mp triple rear & 8 mp front camera,"6.82 inch, IPS LCD Screen
Large"
50 mp + 5 mp + 2 mp triple rear & 13 mp front camera,"6.5 inch, Super AMOLED Screen
Small"
200 mp + 12 mp + 8 mp triple rear & 32 mp front camera,"6.8 inch, OLED Screen
Large"
50 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.47 inch, AMOLED Screen
Small"
200 mp + 50 mp + 12 mp triple rear & 32 mp + 32 mp dual front camera,"8.3 inch, LTPO AMOLED Screen
Large"
50 mp + 2 mp dual rear & 8 mp front camera,"6.78 inch, IPS Screen
Large"
50 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.72 inch, OLED Screen
Average"
50 mp + 8 mp + 5 mp triple rear & 13 mp front camera,"6.6 inch, Super AMOLED Screen
Small"
50 mp + 0.08 mp dual rear & 8 mp front camera,"6.68 inch, LCD Screen
Large"
48 mp + 16 mp dual rear & 25 mp front camera,"6.5 inch, IPS LCD Screen
Small"
8 mp rear & 5 mp front camera,"6.52 inch, IPS LCD Screen
Small"
16 mp + 8 mp + 2 mp triple rear & 8 mp front camera,"6.5 inch, IPS LCD Screen
Small"
50 mp + 2 mp dual rear & 8 mp front camera,"6.72 inch, IPS LCD Screen
Large"
108 mp + 2 mp + 2 mp triple rear & 32 mp front camera,"6.67 inch, AMOLED Screen
Average"
50 mp + 2 mp dual rear & 8 mp front camera,"6.68 inch, LCD Screen
Average"
8 mp rear & 8 mp front camera,"5.5 inch, IPS Screen
Small"
50 mp dual rear & 8 mp front camera,"6.6 inch, IPS Screen
Average"
13 mp + 5 mp dual rear & 8 mp front camera,"6.4 inch, Super AMOLED Screen
Small"
50 mp + 8 mp dual rear & 16 mp front camera,"6.6 inch, IPS LCD Screen
Average"
64 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.51 inch, IPS LCD Screen
Small"
16 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.52 inch, IPS LCD Screen
Small"
13 mp rear & 5 mp front camera,"6.2 inch, IPS LCD Screen
Small"
50 mp + 2 mp dual rear & 8 mp front camera,"6.56 inch, IPS Screen
Average"
50 mp quad rear & 32 mp front camera,"6.78 inch, AMOLED Screen
Large"
50 mp + 2 mp dual rear & 5 mp front camera,"6.53 inch, IPS LCD Screen
Small"
13 mp rear & 5 mp front camera,"6.53 inch, IPS Screen
Small"
16 mp + 12.2 mp dual rear & 8 mp + tof 3d dual front camera,"5.7 inch, OLED Screen
Small"
50 mp + 50 mp + 50 mp triple rear & 50 mp front camera,"6.82 inch, OLED Screen
Average"
47.2 mp + 1.9 mp dual rear & 12.6 mp front camera,"6.6 inch, IGZO OLED Screen
Small"
8 mp rear & 5 mp front camera,"5.5 inch, IPS Screen
Small"
48 mp + 8 mp + 2 mp triple rear & 13 mp front camera,"6.8 inch, IPS LCD Screen
Large"
50 mp + 2 mp dual rear & 8 mp front camera,"6.58 inch, IPS LCD Screen
Small"
8 mp dual rear & 5 mp front camera,"6.6 inch, IPS LCD Screen
Average"
64 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.67 inch, In-Cell AMOLED Dot Display Screen
Average"
13 mp rear & 13 mp front camera,"6 inch, IPS Screen
Small"
50 mp + 2 mp dual rear & 8 mp front camera,"6.74 inch, IPS Screen
Large"
48 mp + 12 mp dual rear & 12 mp front camera,"6.1 inch, OLED Screen
Small"
50 mp + 2 mp dual rear & 8 mp front camera,"6.67 inch, IPS Screen
Average"
50 mp + 8 mp + 2 mp triple rear & 13 mp front camera,"6.67 inch, AMOLED Screen
Average"
50 mp + 5 mp + 2 mp triple rear & 13 mp front camera,"6.7 inch, Super AMOLED Screen
Large"
50 mp + 2 mp triple rear & 8 mp front camera,"6.82 inch, IPS LCD Screen
Large"
48 mp + 2 mp + 0.3 mp triple rear & 8 mp front camera,"6.6 inch, IPS Screen
Small"
16 mp rear & 5 mp front camera,"6.52 inch, IPS Screen
Small"
50.3 mp + 50 mp + 50 mp triple rear & 32 mp front camera,"6.82 inch, AMOLED Screen
Large"
64 mp quad rear & 20 mp front camera,"6.4 inch, Super AMOLED Screen
Small"
48 mp + 2 mp dual rear & 8 mp front camera,"6.67 inch, OLED Screen
Average"
200 mp + 50 mp + 12 mp triple rear & 60 mp front camera,"6.67 inch, IPS Screen
Average"
50 mp + 13 mp dual rear & 32 mp front camera,"6.9 inch, LTPO AMOLED Screen
Largest"
16 mp + 2 mp dual rear & 16 mp front camera,"6.3 inch, IPS LCD Screen
Small"
13 mp + 2 mp dual rear & 13 mp front camera,"6.5 inch, IPS LCD Screen
Small"
50 mp + 13 mp + 5 mp triple rear & 32 mp front camera,"6.78 inch, AMOLED Screen
Average"
50 mp + 2 mp dual rear & 8 mp front camera,"6.72 inch, IPS LCD Screen
Large"
64 mp quad rear & 13 mp front camera,"6.43 inch, Super AMOLED Screen
Small"
12 mp + 12 mp + 8 mp triple rear & 32 mp front camera,"6.4 inch, Dynamic AMOLED 2X Screen
Small"
8 mp rear & 5 mp front camera,"6.56 inch, IPS LCD Screen
Average"
50 mp + 8 mp + 2 mp triple rear & 20 mp front camera,"6.67 inch, AMOLED Screen
Average"
50 mp + 0.3 mp dual rear & 8 mp front camera,"6.56 inch, IPS Screen
Average"
108 mp quad rear & 16 mp front camera,"6.67 inch, Super AMOLED Screen
Average"
50 mp + auxiliary lens dual rear & 13 mp front camera,"6.88 inch, IPS Screen
Largest"
50 mp + 13 mp + 8 mp triple rear & 16 mp front camera,"6.78 inch, AMOLED Screen
Average"
13 mp + 2 mp + 2 mp triple rear & 8 mp front camera,"6.5 inch, IPS LCD Screen
Small"
108 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.67 inch, AMOLED Screen
Average"
50 mp + 2 mp + 2 mp triple rear & 16 mp front camera,"6.6 inch, IPS LCD Screen
Average"
8 mp rear & 5 mp front camera,"5.5 inch Screen
Small"
48 mp quad rear & 13 mp front camera,"6.4 inch, Super AMOLED Screen
Small"
48 mp + 2 mp dual rear & 16 mp front camera,"6.6 inch, IPS LCD Screen
Small"
50 mp + 2 mp dual rear & 16 mp front camera,"6.67 inch, OLED Screen
Average"
50 mp + 2 mp dual rear & 8 mp front camera,"6.75 inch, LCD Screen
Large"
50 mp + 8 mp + 2 mp triple rear & 16 mp front camera,"6.78 inch, AMOLED Screen
Large"
50 mp + 2 mp + 0.3 mp triple rear & 8 mp front camera,"6.6 inch, IPS LCD Screen
Average"
12 mp + 12 mp + 8 mp triple rear & 32 mp front camera,"6.4 inch, Dynamic AMOLED 2X Screen
Small"
50 mp + 2 mp + 2 mp triple rear & 13 mp front camera,"6.6 inch, PLS LCD Screen
Average"
64 mp + 2 mp dual rear & 8 mp front camera,"6.72 inch, IPS Screen
Large"
